sentence1,sentence2,score,tfidf_score,bert_score,hybrid_score
a man is playing the piano,a man is playing the trumpet,0.32,0.6694188517266485,0.5227696,0.566764348802983
a woman is peeling a potato,a woman is peeling an apple,0.4,0.5101490193104813,0.72374237,0.6596643380372544
a pankda is eating bamboo,a panda bear is eating some bamboo,0.8400000000000001,0.45017550232698983,0.7250862,0.6426129634460522
a person is peeling an onion,a person is peeling an eggplant,0.4,0.6694188517266485,0.6505542,0.6562135756592147
a monkey pushes another monkey,the monkey pushed the other monkey,0.96,0.35630042933313816,0.90678275,0.7416380512204431
a squirrel runs around in circles,a squirrel is moving in circles,0.8800000000000001,0.43161341897075156,0.90277106,0.7614237348777795
a man is tying his shoe,a man ties his shoe,1.0,0.5101490193104813,0.90425825,0.7860254697053453
a boy is singing and playing the piano,a boy is playing the piano,0.6,0.7474073540060464,0.8670056,0.8311261168387157
a dog is eating water melon,a dog is eating a piece of watermelon,0.85,0.38087260847594373,0.7708491,0.6538561347881139
a woman is chopping broccoli,a woman is chopping broccoli with a knife,0.85,0.7092972666062738,0.9570003,0.8826894184958287
a man is peeling a potato,a man peeled a potatoe,0.76,0.1707761131901165,0.87843,0.6661338401788062
a woman is playing a guitar,a man plays a guitar,0.48,0.1707761131901165,0.6345954,0.49544959196980654
a woman is slicing tomato,a man is slicing onion,0.32,0.3360969272762575,0.5528237,0.48780567787617557
a man swims underwater,a woman is swimming underwater,0.4,0.1707761131901165,0.6119058,0.47956689128812013
a man and woman are talking,a man and woman is eating,0.32,0.43161341897075156,0.51622784,0.4908435027343773
a small dog is chasing a yoga ball,a dog is chasing a ball,0.8,0.7092972666062738,0.66569924,0.6787786504637547
the men are playing cricket,the men are playing basketball,0.44000000000000006,0.6694188517266485,0.4752873,0.5335267425159804
a man rides off on a motorcycle,a man is riding on a motorcycle,0.8800000000000001,0.43161341897075156,0.8897083,0.7522797863227868
a man is playing a guitar,a man is singing and playing a guitar,0.72,0.7092972666062738,0.7968291,0.7705695649992772
the man talked on the telephone,the man is talking on the phone,0.72,0.5507796339456279,0.83226043,0.7478161851246369
a man is fishing,a man is exercising,0.1,0.5031026124151314,0.31976327,0.3747650748250414
a man is levitating,a man is talking,0.16,0.5031026124151314,0.31569946,0.3719203984496523
two boys are driving,two bays are dancing,0.12,0.3360969272762575,0.09675389,0.16855680041045062
a man is riding on a horse,a girl is riding a horse,0.52,0.5101490193104813,0.5721134,0.5535240821092149
a man is riding a bicycle,a monkey is riding a bike,0.4,0.3360969272762575,0.49938172,0.45039628289669864
a man is slicing potatoes,a woman is peeling potato,0.44000000000000006,0.14438355527738675,0.54361117,0.42384289074665293
a woman is peeling a potato,a man is slicing potato,0.48,0.3360969272762575,0.58911794,0.5132116212698828
a man is playing a guitar,someoen is playing guitar,0.72,0.6029748160380572,0.68411505,0.6597729694467321
a woman is slicing a leek,a woman is slicing ginger,0.44000000000000006,0.6029748160380571,0.642917,0.6309343349557652
the man cut a paper plate,a man is cutting a paper plate,0.96,0.43161341897075156,0.96403563,0.8043089787704492
the man is playing the guitar,a man is playing the flute,0.3286,0.6827531502984261,0.4725983,0.5356447472078292
a man is playing the piano,the man is playing the violin,0.35,0.6827531502984261,0.48297638,0.5429093911153762
a woman is slicing up some meat,a woman is breading some meat,0.45,0.5803329846765686,0.69085824,0.6577006608696606
a man is playing on his keyboard,a man is playing a keyboard piano,0.8,0.5803329846765686,0.8137536,0.7437274188252118
the lady chopped up the green onions,the lady cut up a green onion,0.96,0.5358559548726153,0.91730094,0.8028674322328112
someone is sitring noodles in water,a woman is boiling noodles in water,0.64,0.5031026124151314,0.7133697,0.6502895867583681
lionel richie is dancing on the ceiling,lionel ritchie dances while standing on the ceiling,0.8,0.368023208756115,0.82862306,0.6904430663522678
a man is playing a piano,a person is playing the piano,0.8800000000000001,0.5101490193104814,0.87718534,0.767074411317589
a woman is playing flute,a woman plays on a flute,0.9199999999999999,0.3360969272762575,0.9677565,0.7782586350294959
a boy is checking a calender,a boy is looking at a calendar,0.76,0.2912194185636897,0.8837414,0.7059847907180327
a woman is cutting an onion,a woman is chopping onions,0.96,0.2912194185636897,0.86979413,0.696221728717758
a man is playing guitar,a man plays a guitar,0.9714,0.4112070550676187,0.9765762,0.8069654628680945
a woman is using a sewing machine,a woman is sewing on a machine,1.0,0.6694188517266485,0.94074655,0.8593482018093459
a woman is flipping pancakes,a cartoon chef is flipping pancakes,0.5065999999999999,0.5101490193104814,0.6737552,0.6246733717172167
a man is running on the road,a car is driving down the road,0.2,0.3360969272762574,0.41564566,0.3917810454222571
a man is riding on a horse,a man is talking on a phone,0.2,0.43161341897075156,0.33286938,0.36249258920974964
a man is riding a bike,a man is riding on a horse,0.4,0.5101490193104813,0.5428434,0.5330350748746415
a woman is dancing,a man is eating,0.028599999999999997,0.20199309249791836,-0.08826364,-0.001186619072933992
a man is playing a piano,a man is playing a flute,0.4,0.6029748160380571,0.54721105,0.5639401745420232
a man is playing a flute,a man is playing a piano,0.32,0.6029748160380571,0.54721105,0.5639401745420232
a man is spinning,a man is dancing,0.32,0.5031026124151314,0.6043176,0.5739531135318209
a monkey is swinging from limb to limb,a monkey is swinging from tree to tree,0.6799999999999999,0.3875569814434229,0.783071,0.6644167993661934
the people got off the train,the people got off the train at the station,0.8,0.8587399046062805,0.91000205,0.8946234262120538
a dog is jumping on a trampoline,a dog bounces on a trampoline,0.96,0.5101490193104813,0.8828609,0.7710472993104478
a boy is playing an instrument,a man is playing a trumpet,0.5,0.2912194185636897,0.47113526,0.4171605006808775
a woman plays the guitar,a man sings and plays the guitar,0.35,0.45017550232698983,0.46161732,0.45818477822151915
a woman is picking a can,a woman is slicing a tomato,0.2,0.3360969272762575,0.30598184,0.31501637242764347
a man is climbing a rope,a man climbs up a rope,1.0,0.3360969272762575,0.8895711,0.7235288157317054
a man is lifting a car,a man is climbing a wall,0.27999999999999997,0.3360969272762575,0.32287464,0.326841323003472
a man and woman are driving down the street in a jeep,a man and woman are driving down the road in an open air vehicle,0.8,0.5473319019216166,0.715631,0.6651412643592913
the shirtless man sat in a chair,a shirtless man is sitting on a chair,0.76,0.3360969272762574,0.92528653,0.7485296263548743
two women are wrestling,two women are wrestling on the floor,0.8,0.6348087971775132,0.85254216,0.7872221644332527
the puppy played with a blue tennis ball,a puppy is playing with a tennis ball,0.8,0.45026814465562653,0.8728412,0.7460692391539816
a kangroo is eating something,a kangaroo is eating,0.96,0.4112070550676187,0.6622102,0.5869092568801642
a cat is playing a piano,a man is playing a guitar,0.12,0.3360969272762575,0.31237122,0.31948892615765445
the man cut some carpet with a knife,a man is cutting carpet with a knife,0.95,0.45026814465562653,0.9639096,0.809817181601644
a woman is riding a motorized scooter down a road,a man is riding a motor scooter,0.44000000000000006,0.3446421410380548,0.5939619,0.5191659744304045
someone is slicing a vegetable,someone is slicing a tomato,0.6,0.6029748160380571,0.78972936,0.73370299454744
a woman is dancing,a man is talking,0.0,0.20199309249791836,-0.05911898,0.0192146426739494
a dog licks up a babys drool,a dog licks a baby,0.44000000000000006,0.35630042933313816,0.8609221,0.7095355855908655
a man is rowing a boat,a man is slicing a tomato,0.08,0.3360969272762575,0.15755577,0.21111811541050785
a man cuts up potatos,a man slices potatoes,0.96,0.1707761131901165,0.8048639,0.6146375728600806
a woman is chopping up garlic,the woman is dicing garlic,0.96,0.43161341897075156,0.7987867,0.6886347214920068
an animal run in circles,a squirrel runs in circles,0.76,0.2912194185636897,0.74905103,0.611701567565872
a man is walking slowly across a rope bridge,a boy is walking across a bridge,0.6,0.5193879933129156,0.65280414,0.6127792814663173
a man is playing the guitar,a man seated in a room is playing the guitar,0.8,0.6764792400877004,0.69852364,0.6919103264296151
a man plays the flute,a man is playing a flute,1.0,0.3360969272762575,0.987548,0.7921126618239295
a woman cracks two eggs into a glass bowl,a woman is cracking an egg into a bowl,0.76,0.27519581217502304,0.91774076,0.7249772474137984
a man is cutting a fish,a man guts a fish,0.6,0.4112070550676187,0.74063826,0.6418088600085974
two men are packing suitcases into the trunk of a car,the men are putting suitcases into the cars trunk,0.8800000000000001,0.5217036322697,0.8742096,0.768457791684389
a man pours oil on some tomatos,the man poured oil on the cut tomatoes,0.76,0.24478531173455212,0.83936536,0.6609913596260175
a man is slicing something,a man is slicing a bun,0.6,0.6029748160380571,0.7658912,0.717016257010056
a man is paddling a canoe,a man is playing a harp,0.13340000000000002,0.3360969272762575,0.2017398,0.24204693578213565
a man and woman are walking together through the woods,a man and woman are walking arm in arm through a wooded area,0.8,0.39018614727174444,0.7715574,0.6571459878620959
the woman picked up the kangaroo,a woman picks up a baby kangaroo,0.75,0.31710746658027106,0.8976355,0.7234770738249419
fish are swimming,a fish is swimming,0.8266,0.5031026124151314,0.88903475,0.7732550716159273
two women mix something in a food processor,two women make something in a blender,0.8,0.45026814465562653,0.7567824,0.6648281083251242
a person is surfing a large wave,a person is surfing,0.72,0.6569729210330907,0.8092685,0.7635797846732695
a man is playing a guitar,a man is stabbing a target,0.24,0.3360969272762575,0.2078283,0.246308891400994
a man is playing a flute in a band,a man is playing a guitar,0.32,0.4501755023269897,0.5200967,0.4991203541835858
the man spread butter on the loaf of bread,a man is spreading butter onto bread,0.8,0.23157052612297283,0.909582,0.7061785829543845
a person is boiling noodles,a woman is boiling noodles in water,0.8,0.45017550232698983,0.8412181,0.7239052946647717
a group of people dance on a hill,a group of people are dancing,0.64,0.38087260847594373,0.7435802,0.6347679261127294
a man is dancing outside,a man is playing flute,0.2,0.3360969272762575,0.32867348,0.33090051852196567
a woman is feeding a man,a woman is mixing meat,0.2,0.3360969272762575,0.33466092,0.3350917234274756
a man is putting a pan into an oven,a woman is cutting an onion,0.12,0.2061369660682861,0.165602,0.17776249030790878
a woman is sitting at a desk,a woman is riding a donkey,0.08,0.2912194185636897,0.2765526,0.2809526369924086
medics transport a patient on a stretcher,a doctor rushes a patient on a stretcher,0.6799999999999999,0.43161341897075156,0.71712023,0.6314682047111535
a woman is playing a flute on stage,the woman is playing the flute,0.72,0.41120705506761873,0.8974116,0.7515501901553869
two baby pandas are playing,two pandas are laying together,0.6,0.43161341897075156,0.72172683,0.6346928159935021
a baby is laughing,a baby is laughing and giggling,0.8,0.6569729210330907,0.9343071,0.8511068213401396
a man is playing a guitar,a boy is playing a piano,0.24,0.3360969272762575,0.28386638,0.29953554116219394
a man is folding paper,a woman is slicing a pepper,0.12,0.14438355527738675,-0.029967263,0.022337982989609075
three women are dancing,the man is dancing,0.32,0.14438355527738675,0.2614609,0.22633769977813942
the cats are playing with each other,two cats are fighting each other,0.52,0.45026814465562653,0.76229763,0.668688760771871
a person is writing,a person is writing with a pencil,0.72,0.6569729210330907,0.80088466,0.7577111113486845
a man is running,a man is running down a road,0.7,0.6569729210330907,0.7467794,0.7198374259887297
the woman is rolling dough,a woman is flouring and rolling dough,0.753,0.5803329846765686,0.889033,0.796422991201463
a woman is adding spices on a meat,woman is adding sugar to meat,0.55,0.5031026124151314,0.66931313,0.6194499647376467
a woman is adding oil on fishes,a woman is pouring water on fish,0.45,0.3360969272762574,0.7468828,0.6236470475050818
a young boy is holding a guitar,a little boy is playing a guitar,0.55,0.43161341897075156,0.7775666,0.6737806479675317
a cheetah is running,a cheetah is running across a field,0.76,0.6569729210330907,0.8780421,0.8117213237701018
the man is eating pizza,a man is eating a slice of pizza,0.96,0.5803329846765686,0.8483305,0.767931255743089
an orangutan is riding a bus,a monkey is riding on a bus,0.72,0.43161341897075156,0.66215295,0.5929910819274926
a man and a woman talk in a diner,a man and a woman are riding on a bicycle,0.24,0.30412574187549346,0.40594256,0.3753975021112931
a man is playing a guitar,a man is cleaning a glass door,0.08,0.2912194185636897,0.17836326,0.21222010711379227
a girl is singing and playing a guitar,a young man is singing while playing the guitar,0.48,0.41120705506761873,0.62057436,0.5577641651080847
a girl is communicating with sign language,a young girl is using sign language,0.7882,0.5031026124151314,0.9151804,0.7915570354220797
a woman is doing weight exercises,a woman is doing her hair,0.1,0.43161341897075156,0.43076873,0.4310221354705834
a man is getting inside a car,an elderly man is getting into a red car,0.75,0.474330706497194,0.6141692,0.572217620343018
a big green ball knocks a potato over,a large green ball hits a potato,0.8,0.38087260847594373,0.89327645,0.7395552758136571
a cat is playing keyboards,a cat is playing a piano,0.6,0.6029748160380571,0.822197,0.756430364809586
two dogs swim in a pool,dogs are swimming in a pool,0.8400000000000001,0.43161341897075156,0.8816554,0.7466427962524438
the man used a chopper to chop the onion,the man used a machine to chop up a potatoe,0.4,0.5250790579579575,0.6812998,0.6344335634548158
a woman slices tofu,a woman is cutting tofu,1.0,0.4112070550676187,0.85240805,0.7200477644847632
a herd of deer are crossing the street,a herd of caribou are crossing a road,0.6,0.45026814465562653,0.6537881,0.5927320883418326
the person is riding the horse,a man is riding a horse,0.76,0.3748077700589727,0.78455895,0.6616335675136635
someone is feeding a animal,someone is playing a piano,0.0,0.3360969272762575,0.068954274,0.1490970685336005
someone is slicing tortilas,someone is riding a horse,0.0,0.3360969272762575,0.06664421,0.14748002059787624
someone is mixing ingrediants,someone is sewing things,0.05,0.3360969272762575,0.27207232,0.2912797018143546
a rooster pecks at a dead mouse,a chicken is pecking at a dead mouse,0.8,0.38087260847594373,0.85095125,0.7099276546397985
a woman holds a kangaroo,a woman is picking up a kangaroo,0.65,0.35630042933313816,0.7763772,0.6503541337933801
a man is playing with frogs,a cat is playing with a camera,0.15,0.43161341897075156,0.19145375,0.2635016571027779
two men are talking,two men are playing guitar,0.3,0.5101490193104813,0.429742,0.45386410276580064
a man spreads butter on a big piece of bread,a man is smearing butter on a slice of garlic bread,0.7,0.4211358913281959,0.7086102,0.6223678794055999
a man is running across a high wire,a man is running on rope,0.6,0.38087260847594373,0.6213358,0.5491968456664861
a man is mowing a lawn,a woman is cutting a lemon,0.04,0.14438355527738675,0.116511784,0.12487331647402031
a man is opening a door,a man is playing a guitar,0.16,0.3360969272762575,0.23146212,0.2628525628897559
a man is slicing a potato into pieces,a man is cutting a potato,0.8400000000000001,0.4501755023269897,0.8623023,0.7386642391761853
the woman is cutting cooked octopus,a woman is chopping octopus,0.76,0.45017550232698983,0.85777116,0.7354924376091077
a man is punching through boards,a dog is running through water,0.08,0.25233420143369617,0.0050291866,0.0792206909614616
a man is dancing,a man is eating bread,0.16,0.4112070550676187,0.19607168,0.2606122866319418
someone is playing a piano,a man is playing a guitar,0.24,0.3360969272762575,0.41576782,0.3918665482851874
two foxes are eating from a plate on a brick patio,foxes are eating from a plate,0.5599999999999999,0.6225407468137513,0.857033,0.7866852982895782
a boy is playing a keyboard,a boy is playing the piano,0.64,0.5101490193104813,0.72435653,0.6600942663400193
a person plays a keyboard,someone is playing a keyboard,1.0,0.1707761131901165,0.9630829,0.7253908706658667
a man is shooting a gun,a man is spitting,0.0,0.4112070550676187,0.25760993,0.3036890700505972
someone is slicing an onion,someoen is peeling a potato,0.2,0.12735952979479354,0.46748507,0.3654474021379772
a man is swimming,a woman is slicing meat,0.0,0.1707761131901165,-0.042525977,0.021464650129634742
a man is playing the guitar,a man plays an acoustic guitar,0.75,0.25233420143369617,0.90167725,0.7068743479545229
a woman is slicing a pumpkin,a woman is riding an elephant,0.08,0.2912194185636897,0.19107671,0.2211195276135939
a woman is dancing,a woman is kneading dough,0.08,0.4112070550676187,0.28055218,0.3197486326144934
a woman is cracking eggs into a bowl,a woman is placing skewers onto a rack,0.12,0.20199309249791841,0.2653594,0.24634950000069541
a car is moving through a road,a car is driving down the road,0.8,0.38087260847594373,0.71698844,0.6161536935725987
someone is greasing a pan,smeone is laying down,0.08,0.14438355527738675,0.18315509,0.17152362931495888
a man is playing guitar,a man is draining pasta,0.08,0.3360969272762575,0.13912404,0.19821590028733127
a woman is drinking vodka,a woman is exercising,0.08,0.4112070550676187,0.32621887,0.3517153188632727
a woman is cutting meat into pieces,a woman is cutting up some meat,0.96,0.5031026124151314,0.91036606,0.7881869888064791
a man is rinsing a steak,a man is playing a guitar,0.12,0.3360969272762575,0.27047145,0.29015908978909366
a man is selling items,a man is cleaning the house,0.16,0.2912194185636897,0.3135845,0.30687498012728864
a man is jumping a wall,a man jumps onto a short wall,0.64,0.2912194185636897,0.87824786,0.7021393374557036
runners race around a track,runners compete in a race,0.64,0.3360969272762575,0.7921603,0.6553412809225928
a man is kicking a soccer ball,a man is mixing a bowl,0.12,0.2912194185636897,0.16784139,0.20485479841180024
a woman is frying something,a woman is riding a horse,0.12,0.3360969272762575,0.31796867,0.3234071417900931
a cat is licking a sucker,a woman is slicing cucumber,0.0,0.14438355527738675,0.055523355,0.0821814151478408
a woman is dancing by a fire,a woman is taking a bath,0.27999999999999997,0.2912194185636897,0.24234885,0.25701001743025953
the man is slicing a fish open,a man is slicing a potato,0.44000000000000006,0.45017550232698983,0.5928631,0.5500568146785809
butter is melting in a pan,a man is melting butter in a pan,0.72,0.8466473536503037,0.83812916,0.8406846319678938
three boys are dancing,kids are dancing,0.6222000000000001,0.4112070550676187,0.6958631,0.6104662939952612
a woman is playing a game with a man,a man is playing piano,0.12,0.45017550232698983,0.22821078,0.29480019164887206
the man is driving a white car,a man is giving an interview,0.08,0.22576484600261612,0.13287058,0.16073885863887
a man drove his car,a man is driving a car,0.85,0.3360969272762575,0.8696312,0.7095708980414283
a car backs out of a space,a car is backing out of a blocked lane,0.6,0.3446421410380548,0.66522956,0.5690533335727079
a man puts some cheese on a pizza,the man sprinkled cheese on the pizza,1.0,0.38081653297711143,0.8200902,0.6883080821656249
the boy is playing the piano,a boy plays a piano,1.0,0.2695176132460323,0.9458444,0.7429463603478637
the man played his guitar,a man is playing a guitar,0.75,0.2912194185636897,0.9077527,0.7227927044982451
a man is riding a horse,a man is playing a keyboard,0.04,0.3360969272762575,0.28157482,0.29793144606083743
a man is walking on a rope,a man is riding a mopad,0.08,0.2912194185636897,0.25831255,0.2681846068257826
a girl is playing a flute,a band is playing on a stage,0.2572,0.2912194185636897,0.23184694,0.24965867856688675
people step off a train,a group of people get off a train,0.9199999999999999,0.45017550232698983,0.8529526,0.7321194703659131
a woman is sewing on a machine,a woman is breading some meat,0.12,0.25233420143369617,0.35680223,0.3254618120486849
a dog is looking into swimming pool,a dog is walking around a pool,0.4,0.38087260847594373,0.6914072,0.5982468191543401
a man is buttering a piece of bread,a man is applying butter to bread,1.0,0.3360969272762574,0.8902333,0.7239923610541236
a man is cutting tomatoes into pieces,a woman is cutting some vegetables,0.36,0.22576484600261612,0.5211026,0.4325012669550054
three teenage girls danced in the room,some teenage girls are dancing for the camera,0.48,0.2532094495161745,0.67972624,0.5517711870868317
a lion is walking,a lion is pacing in a pen,0.48,0.35630042933313816,0.6441796,0.5578158366170191
a man shooting a car,a man is cutting a potato,0.08,0.1707761131901165,0.24702202,0.2241482479327506
a black horse is running around,the horse is running,0.8400000000000001,0.5101490193104813,0.7955088,0.7099008611886521
a woman is deveining shrimp,a man is dancing in rain,0.0,0.12735952979479354,-0.065659575,-0.0077538414414104195
a man is riding a horse,a woman is washing a freezer,0.0,0.14438355527738675,-0.130793,-0.0482400370764138
a man walks down a path,a man walks across a tight rope,0.16,0.2912194185636897,0.56629914,0.48377521792597944
a man is slicing a potato,a woman is cutting a jalepeno,0.27999999999999997,0.14438355527738675,0.32273594,0.2692302154374717
a dog is barking at a ball,a dog swims after a tennis ball,0.3,0.25233420143369617,0.47857183,0.4107005369956606
a kid runs away from a fish swinging around on a fishing pole,a little kid is running around a fishing pole,0.5,0.31888272749308855,0.7877177,0.647067208251131
a man is walking along a path through wilderness,a man is walking down a road,0.5,0.3446421410380548,0.609509,0.5300489182990415
an elderly man is speaking at a podium,a man is making a speech at the podium,0.7,0.40298220897396103,0.77001876,0.6599078100463143
a man riding a horse in slow motion,a man is riding on a horse,0.6799999999999999,0.38087260847594373,0.79442173,0.6703569654384435
a person is cutting some burrata cheese,the person is slicing cheese,0.76,0.38087260847594373,0.7733885,0.6556337241092504
the man is shooting an automatic rifle,a man is shooting a gun,0.76,0.4073526042885674,0.7582111,0.6529535525496928
a man is crushing garlic with the back of a knife,a woman is slicing meat with a knife,0.3,0.2605556710562623,0.40154335,0.35924703669552555
a woman is filing her fingernails with an emery board,a woman is feeding her baby with a bottle,0.1,0.3408242166238353,0.12838373,0.19211587012402193
